product_name,pain_count
Air Purifier,10
Portable Blender,9
Smart Pillowcase,7
Smart Plug,6
Eco Water Bottle,6
Bamboo Toothbrush,6
Posture Corrector,6
Standing Desk,6
UV Sanitizer,6
Mechanic Keyboard,5
Mini Projector,4
Dog GPS Tracker,4
Blue Light Glasses,4
AI Earbuds,4
Smart Water Bottle,4
Smart Insole,4
Wireless Charger,4
Noise Cancelling Earbuds,4
Robot Vacuum,4
Air Fryer,3
AI Camera,3
Ergonomic Chair,3
Plant-based Protein,3
Foldable Keyboard,3
Compression Socks,3
Sleep Tracker,3
LED Strip Lights,2
Smart Ring,2
Smart Glasses,1
Portable Solar Panel,1
