product_name,avg_polarity,mention_count
Sleep Tracker,0.32509130434782607,23
Eco Water Bottle,0.29574090909090905,22
Smart Ring,0.28024736842105263,19
Air Fryer,0.26326875,16
Mechanic Keyboard,0.25903333333333334,21
Dog GPS Tracker,0.2564814814814815,27
AI Earbuds,0.24050833333333332,24
Posture Corrector,0.22068260869565215,23
Bamboo Toothbrush,0.2201272727272727,22
AI Camera,0.21252380952380953,21
Blue Light Glasses,0.2110857142857143,21
Noise Cancelling Earbuds,0.1952,19
Portable Solar Panel,0.1940375,16
LED Strip Lights,0.1721,18
Smart Glasses,0.16930666666666666,15
Smart Insole,0.16682631578947368,19
Smart Water Bottle,0.16085714285714284,21
Plant-based Protein,0.15227368421052634,19
Mini Projector,0.14138275862068966,29
Compression Socks,0.12052,25
Smart Plug,0.10891428571428571,21
Smart Pillowcase,0.10063478260869563,23
Portable Blender,0.08058846153846154,26
Robot Vacuum,0.07513571428571428,14
Foldable Keyboard,0.07373571428571427,14
UV Sanitizer,0.05832857142857143,28
Standing Desk,0.026000000000000002,20
Ergonomic Chair,0.010888888888888885,18
Wireless Charger,-0.0036769230769230863,13
Air Purifier,-0.007234782608695657,23
